,strategy,sample,noise,filter_size,mse
0,marginal,0,0.01,3,13.627130681818182
1,lexicographical,0,0.01,3,15.626550281036168
2,bitmix,0,0.01,3,14.759467787756599
3,norm_based,0,0.01,3,14.767662130376344
4,marginal,1,0.01,3,18.11265152219742
5,lexicographical,1,0.01,3,21.590692429315474
6,bitmix,1,0.01,3,21.114046611483136
7,norm_based,1,0.01,3,20.805338541666668
8,marginal,2,0.01,3,7.01458829728739
9,lexicographical,2,0.01,3,10.357400873655914
10,bitmix,2,0.01,3,8.243157380254154
11,norm_based,2,0.01,3,7.92585570931085
12,marginal,3,0.01,3,22.910312347709553
13,lexicographical,3,0.01,3,26.607926337110136
14,bitmix,3,0.01,3,25.502303393031188
15,norm_based,3,0.01,3,25.225768686038013
16,marginal,4,0.01,3,9.530037954343971
17,lexicographical,4,0.01,3,11.92499399748818
18,bitmix,4,0.01,3,10.2815247303487
19,norm_based,4,0.01,3,10.1528932106974
20,marginal,5,0.01,3,7.207220262096774
21,lexicographical,5,0.01,3,12.3876179893695
22,bitmix,5,0.01,3,8.667980205278592
23,norm_based,5,0.01,3,8.398015563905181
24,marginal,6,0.01,3,8.05783420138889
25,lexicographical,6,0.01,3,10.135624106413399
26,bitmix,6,0.01,3,9.091270297181373
27,norm_based,6,0.01,3,8.914306640625
28,marginal,7,0.01,3,13.69620592948718
29,lexicographical,7,0.01,3,16.024993990384615
30,bitmix,7,0.01,3,14.74878405448718
31,norm_based,7,0.01,3,14.67046875
32,marginal,8,0.01,3,28.605730312194527
33,lexicographical,8,0.01,3,32.053272773093845
34,bitmix,8,0.01,3,30.982880086143695
35,norm_based,8,0.01,3,30.762566440615835
36,marginal,9,0.01,3,9.104829915364583
37,lexicographical,9,0.01,3,14.475657145182291
38,bitmix,9,0.01,3,12.178293863932291
39,norm_based,9,0.01,3,11.417036946614584
40,marginal,0,0.01,7,21.704602730938415
41,lexicographical,0,0.01,7,23.868756873167154
42,bitmix,0,0.01,7,23.081664681085044
43,norm_based,0,0.01,7,22.972933085899317
44,marginal,1,0.01,7,31.320608956473215
45,lexicographical,1,0.01,7,35.340018136160715
46,bitmix,1,0.01,7,34.41357034350198
47,norm_based,1,0.01,7,33.926414853050595
48,marginal,2,0.01,7,11.409663673020528
49,lexicographical,2,0.01,7,16.175576964198434
50,bitmix,2,0.01,7,13.572844116568914
51,norm_based,2,0.01,7,12.925414681085044
52,marginal,3,0.01,7,40.568473592836256
53,lexicographical,3,0.01,7,44.24969922636452
54,bitmix,3,0.01,7,43.44509358248051
55,norm_based,3,0.01,7,43.05953414351852
56,marginal,4,0.01,7,14.75165069075059
57,lexicographical,4,0.01,7,17.555687149083923
58,bitmix,4,0.01,7,16.06218602245863
59,norm_based,4,0.01,7,15.847109097960994
60,marginal,5,0.01,7,14.087310224217987
61,lexicographical,5,0.01,7,21.03932024376833
62,bitmix,5,0.01,7,16.376857664345064
63,norm_based,5,0.01,7,15.947618829423265
64,marginal,6,0.01,7,13.116044985702615
65,lexicographical,6,0.01,7,15.297968047896243
66,bitmix,6,0.01,7,14.231027241625817
67,norm_based,6,0.01,7,14.057977813521243
68,marginal,7,0.01,7,20.99733173076923
69,lexicographical,7,0.01,7,23.825302483974358
70,bitmix,7,0.01,7,22.203525641025642
71,norm_based,7,0.01,7,22.046640625
72,marginal,8,0.01,7,43.33857794171554
73,lexicographical,8,0.01,7,46.38061117729716
74,bitmix,8,0.01,7,45.49942914528348
75,norm_based,8,0.01,7,45.340139678030305
76,marginal,9,0.01,7,22.323476155598957
77,lexicographical,9,0.01,7,29.44944864908854
78,bitmix,9,0.01,7,27.134318033854168
79,norm_based,9,0.01,7,25.77642822265625
80,marginal,0,0.01,15,27.391913718841643
81,lexicographical,0,0.01,15,29.603347614247312
82,bitmix,0,0.01,15,29.08159594941349
83,norm_based,0,0.01,15,28.880559628543498
84,marginal,1,0.01,15,38.79181586371528
85,lexicographical,1,0.01,15,43.29835146949405
86,bitmix,1,0.01,15,42.56883215525794
87,norm_based,1,0.01,15,42.42478337363591
88,marginal,2,0.01,15,16.04870402614858
89,lexicographical,2,0.01,15,22.09894878726784
90,bitmix,2,0.01,15,19.193233366935484
91,norm_based,2,0.01,15,18.059575085532746
92,marginal,3,0.01,15,56.18994997258772
93,lexicographical,3,0.01,15,59.300425271076996
94,bitmix,3,0.01,15,59.690431591130604
95,norm_based,3,0.01,15,59.175623248659846
96,marginal,4,0.01,15,19.528599660165483
97,lexicographical,4,0.01,15,23.230323304521278
98,bitmix,4,0.01,15,21.588075317671393
99,norm_based,4,0.01,15,21.403788970153663
100,marginal,5,0.01,15,21.850478066959923
101,lexicographical,5,0.01,15,30.02786687438905
102,bitmix,5,0.01,15,25.24785213526393
103,norm_based,5,0.01,15,24.563830721529815
104,marginal,6,0.01,15,16.419047436683005
105,lexicographical,6,0.01,15,19.035014233558005
106,bitmix,6,0.01,15,17.826222937091504
107,norm_based,6,0.01,15,17.522389131433822
108,marginal,7,0.01,15,25.89535857371795
109,lexicographical,7,0.01,15,29.114559294871796
110,bitmix,7,0.01,15,27.113211137820514
111,norm_based,7,0.01,15,26.998241185897434
112,marginal,8,0.01,15,52.1276958088954
113,lexicographical,8,0.01,15,54.91861215481427
114,bitmix,8,0.01,15,54.06480823863637
115,norm_based,8,0.01,15,53.726058467741936
116,marginal,9,0.01,15,35.76646118164062
117,lexicographical,9,0.01,15,43.263999430338544
118,bitmix,9,0.01,15,42.191304524739586
119,norm_based,9,0.01,15,40.762263997395834
120,marginal,0,0.05,3,15.479048295454545
121,lexicographical,0,0.05,3,24.025323802541543
122,bitmix,0,0.05,3,20.71034755315249
123,norm_based,0,0.05,3,20.706109100073313
124,marginal,1,0.05,3,20.064110165550595
125,lexicographical,1,0.05,3,29.72531273251488
126,bitmix,1,0.05,3,27.684322296626984
127,norm_based,1,0.05,3,27.378534226190474
128,marginal,2,0.05,3,7.799671997189638
129,lexicographical,2,0.05,3,16.925084387218963
130,bitmix,2,0.05,3,11.348736864613882
131,norm_based,2,0.05,3,11.21568380376344
132,marginal,3,0.05,3,25.578429580896685
133,lexicographical,3,0.05,3,34.783711394371345
134,bitmix,3,0.05,3,34.54287547210039
135,norm_based,3,0.05,3,34.38073944627193
136,marginal,4,0.05,3,10.48612958037825
137,lexicographical,4,0.05,3,18.33097157579787
138,bitmix,4,0.05,3,14.512776115543735
139,norm_based,4,0.05,3,14.330652980939716
140,marginal,5,0.05,3,8.420339992668621
141,lexicographical,5,0.05,3,19.82393618646139
142,bitmix,5,0.05,3,13.3052889021261
143,norm_based,5,0.05,3,13.101610230327468
144,marginal,6,0.05,3,9.000989328022875
145,lexicographical,6,0.05,3,16.02811127706291
146,bitmix,6,0.05,3,12.772231158088236
147,norm_based,6,0.05,3,12.484371808619281
148,marginal,7,0.05,3,14.82904046474359
149,lexicographical,7,0.05,3,22.971175881410257
150,bitmix,7,0.05,3,19.050596955128206
151,norm_based,7,0.05,3,18.980899439102565
152,marginal,8,0.05,3,30.814281295821115
153,lexicographical,8,0.05,3,39.0501779386608
154,bitmix,8,0.05,3,37.79696091458944
155,norm_based,8,0.05,3,37.78752749266862
156,marginal,9,0.05,3,11.321232096354167
157,lexicographical,9,0.05,3,21.666798909505207
158,bitmix,9,0.05,3,19.21947021484375
159,norm_based,9,0.05,3,18.594917805989585
160,marginal,0,0.05,7,22.487418285679375
161,lexicographical,0,0.05,7,30.824938523338222
162,bitmix,0,0.05,7,26.702389952956988
163,norm_based,0,0.05,7,26.25744784029814
164,marginal,1,0.05,7,31.803426106770832
165,lexicographical,1,0.05,7,41.194742838541664
166,bitmix,1,0.05,7,38.64697265625
167,norm_based,1,0.05,7,37.63515121217758
168,marginal,2,0.05,7,11.67666712487781
169,lexicographical,2,0.05,7,22.74047684506354
170,bitmix,2,0.05,7,15.23544225012219
171,norm_based,2,0.05,7,14.65133568548387
172,marginal,3,0.05,7,41.37052075718811
173,lexicographical,3,0.05,7,49.486276726973685
174,bitmix,3,0.05,7,49.6782673915692
175,norm_based,3,0.05,7,48.950627436647174
176,marginal,4,0.05,7,15.10437906323877
177,lexicographical,4,0.05,7,23.690824468085108
178,bitmix,4,0.05,7,19.36534749926123
179,norm_based,4,0.05,7,19.03826601285461
180,marginal,5,0.05,7,14.561625580400783
181,lexicographical,5,0.05,7,27.718097049120235
182,bitmix,5,0.05,7,19.658285221163247
183,norm_based,5,0.05,7,18.87240156097263
184,marginal,6,0.05,7,13.34506165747549
185,lexicographical,6,0.05,7,21.158528645833332
186,bitmix,6,0.05,7,16.464757582720587
187,norm_based,6,0.05,7,15.956346698835784
188,marginal,7,0.05,7,21.301027644230768
189,lexicographical,7,0.05,7,29.91848357371795
190,bitmix,7,0.05,7,24.104074519230767
191,norm_based,7,0.05,7,23.735877403846153
192,marginal,8,0.05,7,43.637870005498534
193,lexicographical,8,0.05,7,51.216460853494624
194,bitmix,8,0.05,7,49.37140113330889
195,norm_based,8,0.05,7,48.86459097018573
196,marginal,9,0.05,7,23.083369954427084
197,lexicographical,9,0.05,7,34.37616170247396
198,bitmix,9,0.05,7,32.042930094401044
199,norm_based,9,0.05,7,30.227174886067708
200,marginal,0,0.05,15,27.69105877321603
201,lexicographical,0,0.05,15,35.98034656036168
202,bitmix,0,0.05,15,33.35882323741447
203,norm_based,0,0.05,15,32.90261294904692
204,marginal,1,0.05,15,39.032472640749006
205,lexicographical,1,0.05,15,48.38790263826885
206,bitmix,1,0.05,15,47.635496109250994
207,norm_based,1,0.05,15,46.44965084015377
208,marginal,2,0.05,15,16.06787634408602
209,lexicographical,2,0.05,15,28.44391877443793
210,bitmix,2,0.05,15,20.786154768450636
211,norm_based,2,0.05,15,19.646266724706745
212,marginal,3,0.05,15,56.47811205531189
213,lexicographical,3,0.05,15,62.89507188109162
214,bitmix,3,0.05,15,64.8370930037768
215,norm_based,3,0.05,15,63.81635294834308
216,marginal,4,0.05,15,19.741651891252957
217,lexicographical,4,0.05,15,28.94853769577423
218,bitmix,4,0.05,15,25.984010231973997
219,norm_based,4,0.05,15,25.545085789745862
220,marginal,5,0.05,15,21.976417399804497
221,lexicographical,5,0.05,15,35.65432551319648
222,bitmix,5,0.05,15,28.319837105938415
223,norm_based,5,0.05,15,27.047037283113394
224,marginal,6,0.05,15,16.485180823631534
225,lexicographical,6,0.05,15,25.30626882914624
226,bitmix,6,0.05,15,20.489578546262255
227,norm_based,6,0.05,15,19.768446180555557
228,marginal,7,0.05,15,25.902473958333335
229,lexicographical,7,0.05,15,34.93371594551282
230,bitmix,7,0.05,15,29.040464743589745
231,norm_based,7,0.05,15,28.38147435897436
232,marginal,8,0.05,15,52.10099737292278
233,lexicographical,8,0.05,15,58.934086326979475
234,bitmix,8,0.05,15,57.436606488269796
235,norm_based,8,0.05,15,56.82118119195992
236,marginal,9,0.05,15,35.97895914713542
237,lexicographical,9,0.05,15,46.837868245442706
238,bitmix,9,0.05,15,46.77940673828125
239,norm_based,9,0.05,15,44.69989827473958
240,marginal,0,0.3,3,42.5307975164956
241,lexicographical,0,0.3,3,64.78163947947215
242,bitmix,0,0.3,3,72.08866385630499
243,norm_based,0,0.3,3,71.84731450085533
244,marginal,1,0.3,3,48.30129859561012
245,lexicographical,1,0.3,3,68.74118381076389
246,bitmix,1,0.3,3,76.13150654141864
247,norm_based,1,0.3,3,75.8831554594494
248,marginal,2,0.3,3,33.902381934261975
249,lexicographical,2,0.3,3,58.574812515273706
250,bitmix,2,0.3,3,61.81311094819159
251,norm_based,2,0.3,3,66.51451192876344
252,marginal,3,0.3,3,53.99643449987817
253,lexicographical,3,0.3,3,71.892669499269
254,bitmix,3,0.3,3,77.6251370614035
255,norm_based,3,0.3,3,78.41866738243178
256,marginal,4,0.3,3,35.50706680333924
257,lexicographical,4,0.3,3,57.70388223995272
258,bitmix,4,0.3,3,65.25505596187944
259,norm_based,4,0.3,3,65.62826675162529
260,marginal,5,0.3,3,34.31552228433529
261,lexicographical,5,0.3,3,58.805758568548384
262,bitmix,5,0.3,3,59.659562484726294
263,norm_based,5,0.3,3,64.00807406219452
264,marginal,6,0.3,3,35.53258080575981
265,lexicographical,6,0.3,3,60.974880642361114
266,bitmix,6,0.3,3,64.43681225745506
267,norm_based,6,0.3,3,68.53264463337419
268,marginal,7,0.3,3,39.77652644230769
269,lexicographical,7,0.3,3,61.01711939102564
270,bitmix,7,0.3,3,70.03236778846154
271,norm_based,7,0.3,3,68.17402644230769
272,marginal,8,0.3,3,55.12758125610948
273,lexicographical,8,0.3,3,72.74328720674487
274,bitmix,8,0.3,3,76.25126580828446
275,norm_based,8,0.3,3,78.85040360764907
276,marginal,9,0.3,3,39.38673502604167
277,lexicographical,9,0.3,3,57.565277099609375
278,bitmix,9,0.3,3,65.93979899088542
279,norm_based,9,0.3,3,65.4590840657552
280,marginal,0,0.3,7,31.4298383278348
281,lexicographical,0,0.3,7,63.320062393084065
282,bitmix,0,0.3,7,78.26500259652981
283,norm_based,0,0.3,7,80.05136165078201
284,marginal,1,0.3,7,42.919590541294646
285,lexicographical,1,0.3,7,70.15032087053571
286,bitmix,1,0.3,7,83.95889136904762
287,norm_based,1,0.3,7,84.86729794456845
288,marginal,2,0.3,7,18.210595750855326
289,lexicographical,2,0.3,7,55.1771367913001
290,bitmix,2,0.3,7,57.37803755804008
291,norm_based,2,0.3,7,79.50933796126589
292,marginal,3,0.3,7,52.78894066764133
293,lexicographical,3,0.3,7,75.02074766995614
294,bitmix,3,0.3,7,88.27577706201266
295,norm_based,3,0.3,7,92.25118976912768
296,marginal,4,0.3,7,21.78759419326241
297,lexicographical,4,0.3,7,54.059279421542556
298,bitmix,4,0.3,7,71.63721511155437
299,norm_based,4,0.3,7,75.08896645981088
300,marginal,5,0.3,7,22.976617867179865
301,lexicographical,5,0.3,7,58.960580477150536
302,bitmix,5,0.3,7,65.38832630742912
303,norm_based,5,0.3,7,78.65014624572336
304,marginal,6,0.3,7,17.98272824754902
305,lexicographical,6,0.3,7,56.489347171160134
306,bitmix,6,0.3,7,68.32083429074756
307,norm_based,6,0.3,7,81.60193908292484
308,marginal,7,0.3,7,27.551141826923075
309,lexicographical,7,0.3,7,58.5478766025641
310,bitmix,7,0.3,7,74.19873397435897
311,norm_based,7,0.3,7,76.66802083333333
312,marginal,8,0.3,7,50.44022635630498
313,lexicographical,8,0.3,7,73.7600653714565
314,bitmix,8,0.3,7,81.86595032991202
315,norm_based,8,0.3,7,90.96780493951613
316,marginal,9,0.3,7,35.059698486328124
317,lexicographical,9,0.3,7,58.617513020833336
318,bitmix,9,0.3,7,72.0731424967448
319,norm_based,9,0.3,7,76.2751220703125
320,marginal,0,0.3,15,34.758022513440864
321,lexicographical,0,0.3,15,65.82118310117302
322,bitmix,0,0.3,15,82.6693376557918
323,norm_based,0,0.3,15,89.02482358870968
324,marginal,1,0.3,15,48.56991722470238
325,lexicographical,1,0.3,15,73.66956341455854
326,bitmix,1,0.3,15,89.29686918712798
327,norm_based,1,0.3,15,94.75232514880952
328,marginal,2,0.3,15,20.37227746212121
329,lexicographical,2,0.3,15,56.72571290017107
330,bitmix,2,0.3,15,61.030751695381234
331,norm_based,2,0.3,15,99.84500053457967
332,marginal,3,0.3,15,61.687183997319686
333,lexicographical,3,0.3,15,80.59679771259746
334,bitmix,3,0.3,15,94.64064213267544
335,norm_based,3,0.3,15,100.4393160635965
336,marginal,4,0.3,15,24.21119606973995
337,lexicographical,4,0.3,15,55.62367713874114
338,bitmix,4,0.3,15,77.86411236702128
339,norm_based,4,0.3,15,87.27633717494089
340,marginal,5,0.3,15,27.53045003971163
341,lexicographical,5,0.3,15,61.83018313172043
342,bitmix,5,0.3,15,77.8219506048387
343,norm_based,5,0.3,15,95.6816482618524
344,marginal,6,0.3,15,17.62309953278186
345,lexicographical,6,0.3,15,56.73287664675245
346,bitmix,6,0.3,15,80.33473115808823
347,norm_based,6,0.3,15,103.06091547947304
348,marginal,7,0.3,15,30.149391025641027
349,lexicographical,7,0.3,15,60.028509615384614
350,bitmix,7,0.3,15,74.83581530448718
351,norm_based,7,0.3,15,81.43882612179488
352,marginal,8,0.3,15,54.97196893328446
353,lexicographical,8,0.3,15,76.86693357465786
354,bitmix,8,0.3,15,85.94138715786902
355,norm_based,8,0.3,15,102.97334547592864
356,marginal,9,0.3,15,44.35704752604167
357,lexicographical,9,0.3,15,64.46173909505208
358,bitmix,9,0.3,15,75.88754272460938
359,norm_based,9,0.3,15,84.53007202148437
